URL,Count
https://news.ycombinator.com,3
https://news.ycombinator.com/news,1
https://news.ycombinator.com/newest,1
https://news.ycombinator.com/front,1
https://news.ycombinator.com/newcomments,1
https://news.ycombinator.com/ask,1
https://news.ycombinator.com/show,1
https://news.ycombinator.com/jobs,1
https://news.ycombinator.com/submit,1
https://news.ycombinator.com/login,1
https://news.ycombinator.com/vote,29
https://news.ycombinator.com/from,28
https://news.ycombinator.com/user,29
https://news.ycombinator.com/item,61
https://news.ycombinator.com/hide,30
https://news.ycombinator.com/newsguidelines.html,1
https://news.ycombinator.com/newsfaq.html,1
https://news.ycombinator.com/lists,1
https://news.ycombinator.com/security.html,1
